PlotID,EstablishDate,Easting,Northing,V1,ACHY,ADLE,ARFR4,ARNO4,ARPU9,ARTR2,ASAM5,ASTRA,ASTRA01,ASTRA2,ATCA2,ATCO,BOGR2,BRTE,BUNKF01,CHDE2,CHER2,CHVI8,COWRW,CRMI,DEPI,DRCU,ELEL5,ERCI6,ERCO27,ERIGE2,ERIGERON SP.,ERLE10,ERLO4,ERNA10,ERPU9,GUSA2,HECO26,HL,HYFI,IPPU4,IPRO,JUOS,KRLA2,LAOC3,LARE,LEMO2,LEMO3,LESA4,MAPI,MAVU,None,OECA10,OPPO,ORFA,PAMU11,PASM,PEBR9,PEPU7,PHAU3,PHHOC,PHLO2,PHRE9,PIDE4,PIED,PLJA,PLPA2,POFE,S,SATR12,SAUU3,SAVE4,SCLI,SPCO,SPCR,THAU3,TOAN,TRDU,UNKM,UNKSEEDLING,VUOC,WL
SS04,2015-06-04T06:00:00Z,177166,4224082,3.7266666666666666,0,0,0,0,0,0.15333333333333332,0,0,0,0,0,0,0.28,0.006666666666666667,0,0,0,0,0,0,0,0,0.04,0,0.006666666666666667,0,0,0,0,0,0,0.006666666666666667,0,0.4666666666666667,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0.013333333333333334,0
SS02,2015-06-16T06:00:00Z,174171,4226990,3.52,0,0,0,0,0,0.21333333333333335,0,0,0,0,0,0,0.21333333333333335,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.04666666666666667,0.013333333333333334,0.6133333333333333,0.006666666666666667,0,0.013333333333333334,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0.04,0,0,0.013333333333333334,0,0,0,0,0,0,0.05333333333333334,0,0.013333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334
WM01,2015-06-17T06:00:00Z,170287,4228899,3.5866666666666664,0,0,0,0,0,0.2866666666666667,0,0,0,0,0,0,0.17333333333333334,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.3933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.006666666666666667,0.02
EM01,2015-06-17T06:00:00Z,173664,4232060,3.48,0,0,0,0,0,0.11333333333333333,0,0,0,0,0,0,0.28,0,0,0.006666666666666667,0.03333333333333333,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0.02666666666666667,0.03333333333333333,0.6733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0.006666666666666667,0,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.09333333333333334
10_GUSG_CONTROL,2016-06-15T06:00:00Z,187112,4216492,3.6,0,0,0,0.04,0,0.12666666666666668,0,0,0,0,0,0,0,0.04666666666666667,0,0,0.006666666666666667,0,0,0,0.006666666666666667,0,0.10666666666666667,0,0,0,0,0,0,0,0,0.02666666666666667,0,0.5266666666666666,0,0,0,0,0,0,0.02,0,0,0,0,0,0.36,0,0.006666666666666667,0,0,0.04,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0.04
3_GUSG_CONTROL,2016-06-14T06:00:00Z,176288,4222685,3.64,0,0,0.013333333333333334,0.16666666666666666,0,0.013333333333333334,0,0,0,0,0,0,0.09333333333333334,0,0,0.006666666666666667,0,0,0,0,0,0,0.08666666666666667,0,0,0,0,0,0,0,0.006666666666666667,0.013333333333333334,0,0.4866666666666667,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0.3466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0.05333333333333334
14_GROUSEPR,2016-06-15T06:00:00Z,177663,4223372,3.4266666666666667,0.02,0,0,0.14666666666666667,0,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.02666666666666667,0.08,0,0,0,0.006666666666666667,0,0,0,0,0.14666666666666667,0,0,0,0.013333333333333334,0,0,0,0,0.006666666666666667,0,0.4866666666666667,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.31333333333333335,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.18666666666666668,0,0.02,0,0,0,0,0,0,0,0.05333333333333334
3_GROUSEPR,2016-06-15T06:00:00Z,190178,4214869,3.453333333333333,0.013333333333333334,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0.013333333333333334,0.26,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.006666666666666667,0,0.12,0,0.6866666666666666,0,0,0,0,0,0,0.006666666666666667,0,0,0.006666666666666667,0,0.006666666666666667,0.2,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02666666666666667,0,0,0,0,0,0,0,0.05333333333333334
4_GROUSEPR,2016-06-15T06:00:00Z,189088,4215592,3.7733333333333334,0.006666666666666667,0,0,0,0,0.12666666666666668,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.2733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.38666666666666666,0,0.006666666666666667,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0.006666666666666667,0,0,0,0,0,0,0.02666666666666667,0.013333333333333334,0,0,0,0,0,0,0,0.11333333333333333
6_GROUSEPR,2016-06-13T06:00:00Z,184840,4217673,3.7466666666666666,0,0,0,0.22,0,0.05333333333333334,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0.03333333333333333,0,0.38666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.5266666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0.006666666666666667
