PlotID,EstablishDate,Easting,Northing,ARNO4,ARTR2
WM02,2015-06-18T06:00:00Z,171331,4228816,0,0.32
EM02,2015-06-17T06:00:00Z,174496,4228084,0,0.23333333333333334
10_DENSE,2016-06-07T06:00:00Z,174198,4225619,0,0.22666666666666666
TR02,2015-06-09T06:00:00Z,183302,4216105,0,0.17333333333333334
TR01,2015-06-09T06:00:00Z,187647,4218063,0,0.22
WH10,2015-06-18T06:00:00Z,180574,4223918,0.08,0
WH11,2015-06-18T06:00:00Z,180540,4224532,0.02,0.1
WH03,2015-06-09T06:00:00Z,179770,4222986,0,0.11333333333333333
IM03,2015-06-16T06:00:00Z,175580,4222823,0.013333333333333334,0
IM01,2015-06-16T06:00:00Z,170925,4225378,0,0.02
SS04,2015-06-04T06:00:00Z,177166,4224082,0,0.15333333333333332
SS02,2015-06-16T06:00:00Z,174171,4226990,0,0.21333333333333335
WM01,2015-06-17T06:00:00Z,170287,4228899,0,0.2866666666666667
EM01,2015-06-17T06:00:00Z,173664,4232060,0,0.11333333333333333
10_GUSG_CONTROL,2016-06-15T06:00:00Z,187112,4216492,0.04,0.12666666666666668
3_GUSG_CONTROL,2016-06-14T06:00:00Z,176288,4222685,0.16666666666666666,0.013333333333333334
14_GROUSEPR,2016-06-15T06:00:00Z,177663,4223372,0.14666666666666667,0.006666666666666667
3_GROUSEPR,2016-06-15T06:00:00Z,190178,4214869,0,0.06666666666666667
4_GROUSEPR,2016-06-15T06:00:00Z,189088,4215592,0,0.12666666666666668
6_GROUSEPR,2016-06-13T06:00:00Z,184840,4217673,0.22,0.05333333333333334
7_GROUSEPR,2016-06-06T06:00:00Z,189088,4215592,0,0.23333333333333334
8_GROUSEPR,2016-06-06T06:00:00Z,182885,4218473,0.21333333333333335,0.10666666666666667
11_GROUSEPR,2016-06-07T06:00:00Z,178672,4222119,0.02666666666666667,0
12_GROUSEPR,2016-06-14T06:00:00Z,174158,4222879,0,0.21333333333333335
13_GROUSEPR,2016-06-15T06:00:00Z,176576,4223338,0.02,0.06
1_GUSG_CONTROL,2016-06-14T06:00:00Z,178698,4219907,0.12,0
2_GUSG_CONTROL,2016-06-15T06:00:00Z,185757,4218365,0.12666666666666668,0.013333333333333334
4_GUSG_CONTROL,2016-06-14T06:00:00Z,182334,4220418,0.006666666666666667,0
5_GUSG_CONTROL,2016-06-14T06:00:00Z,177824,4222215,0.3,0
6_GUSG_CONTROL,2016-06-09T06:00:00Z,183959,4216199,0,0.10666666666666667
7_GUSG_CONTROL,2016-06-15T06:00:00Z,184591,4221280,0,0.06
8_GUSG_CONTROL,2016-06-13T06:00:00Z,180541,4218732,0.22666666666666666,0
11_GUSG_CONTROL,2016-06-13T06:00:00Z,181256,4216732,0.013333333333333334,0.09333333333333334
12_GUSG_CONTROL,2016-06-13T06:00:00Z,185250,4217434,0.006666666666666667,0.16
14_GUSG_CONTROL,2016-06-15T06:00:00Z,179408,4219177,0.013333333333333334,0.02
1_DENSE,2016-06-07T06:00:00Z,179409,4222342,0.06,0
4_DENSE,2016-06-07T06:00:00Z,180719,4222520,0,0.013333333333333334
5_DENSE,2016-06-07T06:00:00Z,181008,4222011,0.006666666666666667,0.1
12_DENSE,2016-06-14T06:00:00Z,174483,4223781,0,0.16666666666666666
11_DENSE,2016-06-07T06:00:00Z,174300,4225193,0,0.16666666666666666
9_DENSE,2016-06-13T06:00:00Z,181662,4218346,0.12,0.013333333333333334
6_DENSE,2016-06-09T06:00:00Z,180141,4221912,0,0.013333333333333334
7_DENSE,2016-06-09T06:00:00Z,184790,4216541,0,0.2733333333333333
8_DENSE,2016-06-06T06:00:00Z,182225,4218832,0.26666666666666666,0
3_DENSE,2016-06-14T06:00:00Z,180014,4222601,0.15333333333333332,0
2_DENSE,2016-06-09T06:00:00Z,180558,4221623,0.07333333333333333,0
SG_28_calibration,2016-05-31T06:00:00Z,0,0,0,0.08
