PlotKey,ACHY,ACLA,ACMI2,ADLE,AECY,AMUT,ARCO5,ARFR4,ARLU,ARNO4,ARPU9,ARTR2,ASAM5,ASTRA,ASTRA01,ASTRA2,ATCA2,ATCO,BOGR2,BRIN2,BRTE,BUNKF01,CELE3,CEMO2,CHDE,CHDE2,CHER2,CHVI8,COAR4,COHI4,COUM,COWRW,CRMI,DEPI,DRCU,ELEL5,ERCI6,ERCO27,ERIGE,ERIGE2,ERIGERON SP.,ERLE10,ERLO4,ERNA10,ERPU9,ERRA3,ERUM,GUSA2,HECO26,HEMU3,HETER8,HL,HYFI,IPPU4,IPRO,JUOS,KRLA2,LAOC3,LARE,LASE,LELU,LEMO2,LEMO3,LESA4,LIIN2,LODI,LOTR2,LUBA3,MAPI,MARE11,MAVU,None,OECA10,OPFR,OPPO,ORFA,PAMU11,PASM,PEBR9,PECE,PECR5,PENST,PEPU7,PEST2,PHAU3,PHHOC,PHLO2,PHRE9,PIDE4,PIED,PLJA,PLPA2,POBU,POFE,POPR,PUST,QUGA,RHTR,S,SATR12,SAUU3,SAVE4,SCLI,SEIN2,SPCO,SPCR,SYLO,TEIV,THAU3,TOAN,TRDU,TRDY,TRGY,UNKM,UNKSEEDLING,VUOC,WL,WYAR,WYLA,ZIPA2
1608021636033656,0,0,0,0,0,0,0,0.08666666666666667,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0.5066666666666667,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.006666666666666667,0,0.08666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
1608031358567749,0.09333333333333334,0,0,0,0,0,0,0,0,0,0,0.2733333333333333,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0.23333333333333334,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.006666666666666667,0.013333333333333334,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667,0,0.02,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.013333333333333334,0,0,0
1608031508414280,0.013333333333333334,0,0,0.013333333333333334,0,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0,0.006666666666666667,0.013333333333333334,0,0.013333333333333334,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0.006666666666666667,0,0.08666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.5466666666666666,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.013333333333333334,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0.02,0,0,0
1608040733521244,0.006666666666666667,0,0,0,0,0,0,0,0,0.15333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.006666666666666667,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0.10666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667,0,0,0
1611211120272718,0,0,0,0,0,0,0,0,0,0.07333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0.02,0,0,0,0,0.09333333333333334,0,0,0,0.26666666666666666,0,0,0,0,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611221610381352,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.36,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0.02,0,0,0,0,0,0,0,0.08,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29333333333333333,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0.02,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0.013333333333333334,0,0,0
1708011957309320,0,0,0,0,0.05333333333333334,0,0,0,0,0,0,0.19333333333333333,0,0,0,0,0,0,0,0,0.13333333333333333,0,0,0,0,0,0,0.006666666666666667,0.006666666666666667,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0.3933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
1708031555568660,0,0,0,0,0,0,0,0,0,0,0,0.30666666666666664,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0.4066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0
1708041143501593,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0.02,0,0.006666666666666667,0,0.7533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0.30666666666666664,0,0,0,0,0,0.02,0,0,0.013333333333333334,0,0.013333333333333334,0,0,0,0,0,0,0.15333333333333332,0,0,0,0.15333333333333332,0,0.013333333333333334,0.2866666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04666666666666667,0.013333333333333334,0,0
1708071606473313,0,0,0.006666666666666667,0,0,0.04,0,0,0.02,0,0,0.08666666666666667,0,0,0,0,0,0,0,0.006666666666666667,0.006666666666666667,0,0.14,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0.013333333333333334,0.03333333333333333,0,0,0.7,0,0,0,0.06666666666666667,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.38666666666666666,0,0,0.006666666666666667,0,0,0,0,0,0,0.006666666666666667,0.02666666666666667,0,0,0,0,0,0,0,0,0,0.02,0.06,0,0,0.11333333333333333,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0.08666666666666667,0,0,0
