PlotID,EstablishDate,Easting,Northing,ARNO4,ARTR2
SST01,2017-06-21T06:00:00Z,174868.302279,4225091.44559,0,0.24
DC02,2017-06-22T06:00:00Z,174709.8674,4227117.85839,0.006666666666666667,0.17333333333333334
DW02,2017-06-20T06:00:00Z,188341.03185,4213882.12607,0,0.013333333333333334
DW01,2017-09-19T06:00:00Z,188701.439168,4213427.13002,0,0.02
DC01,2017-06-21T06:00:00Z,177225.696692,4224870.88598,0,0.04
SSC02,2017-09-22T06:00:00Z,175165.980772,4225019.0373,0,0.2
HLI01,2017-06-21T06:00:00Z,180624.941596,4224005.96323,0.02666666666666667,0.04666666666666667
HLI02,2017-06-21T06:00:00Z,179320.969403,4224671.99014,0.013333333333333334,0.14
