PlotID,EstablishDate,Easting,Northing,V1,ACHY,ARNO4,ARTR2,BOGR2,BRTE,CHDE,CHER2,CHVI8,ELEL5,GUSA2,HECO26,HETER8,HL,JUOS,LEMO3,None,OPPO,PIED,PLJA,POFE,RHTR,SCLI,SPCO,WL
SST01,2017-06-21T06:00:00Z,174868.302279,4225091.44559,2.28,0,0,0.24,0.16,0,0,0.006666666666666667,0,0.11333333333333333,0,0,0,0.5866666666666667,0,0,0.5733333333333334,0.006666666666666667,0,0,0,0,0,0.006666666666666667,0.02666666666666667
DC02,2017-06-22T06:00:00Z,174709.8674,4227117.85839,2.26,0.013333333333333334,0.006666666666666667,0.17333333333333334,0.07333333333333333,0,0,0,0,0.013333333333333334,0.02,0,0,0.6066666666666667,0.10666666666666667,0,0.6333333333333333,0,0,0,0,0,0,0,0.09333333333333334
DW02,2017-06-20T06:00:00Z,188341.03185,4213882.12607,2.033333333333333,0,0,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.013333333333333334,0.006666666666666667,0,0,0,0.25333333333333335,0,0.8,0,0,0.54,0,0.12666666666666668,0,0,0,0,0.006666666666666667,0.04666666666666667
DW01,2017-09-19T06:00:00Z,188701.439168,4213427.13002,1.72,0.06,0,0.02,0.13333333333333333,0.05333333333333334,0,0.006666666666666667,0.006666666666666667,0.17333333333333334,0.10666666666666667,0.06666666666666667,0,0.8533333333333334,0,0.006666666666666667,0.37333333333333335,0,0,0,0.02,0,0,0,0.3933333333333333
DC01,2017-06-21T06:00:00Z,177225.696692,4224870.88598,2.56,0,0,0.04,0.07333333333333333,0,0,0,0,0,0,0,0.02,0.38,0.10666666666666667,0,0.72,0,0,0,0,0.013333333333333334,0.013333333333333334,0,0.07333333333333333
SSC02,2017-09-22T06:00:00Z,175165.980772,4225019.0373,2.3,0,0,0.2,0.2,0,0,0,0,0.11333333333333333,0,0,0,0.5866666666666667,0,0,0.5133333333333333,0.013333333333333334,0,0,0,0,0,0.006666666666666667,0.05333333333333334
HLI01,2017-06-21T06:00:00Z,180624.941596,4224005.96323,2.1333333333333333,0,0.02666666666666667,0.04666666666666667,0.18666666666666668,0,0,0,0,0.04666666666666667,0.006666666666666667,0.11333333333333333,0,0.6733333333333333,0,0,0.5066666666666667,0,0,0.013333333333333334,0,0,0.03333333333333333,0.05333333333333334,0.16
HLI02,2017-06-21T06:00:00Z,179320.969403,4224671.99014,2.433333333333333,0,0.013333333333333334,0.14,0.14666666666666667,0,0,0,0,0,0,0.03333333333333333,0,0.5066666666666667,0.07333333333333333,0,0.5533333333333333,0,0.07333333333333333,0,0,0,0,0,0.02666666666666667
