PlotID,EstablishDate,Easting,Northing,ARNO4,ARTR2
PR200,2017-06-14T06:00:00Z,157135,4206409,0,0.16
PR11,2017-06-14T06:00:00Z,144997,4187260,0,0.19333333333333333
PR09,2017-06-07T06:00:00Z,145716,4189582,0,0.30666666666666664
PR08,2017-06-13T06:00:00Z,161648,4192030,0,0.12
PR1100,2017-06-12T06:00:00Z,161355,4188689,0,0.08666666666666667
PR05,2017-06-19T06:00:00Z,145562,4188052,0,0.31333333333333335
PR04,2017-06-14T06:00:00Z,161078,4199084,0,0.08
PR01,2017-06-13T06:00:00Z,162305,4195365,0,0.1
PR1000,2017-06-12T06:00:00Z,165800,4186051,0.006666666666666667,0.05333333333333334
